Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,GST No.CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
Istana Pancing Denpasar,Istana Pancing Denpasar,istana_pancing_denpasar@gmail.com,0823-3095-6888,Taman Desa,Denpasar,Bali,,Indonesia,,,,,,,
Wijaya Srinit,Wijaya Srinit,wijaya_srinit@gmail.com,087812300098,,Denpasar,Bali,,Indonesia,,,,,,,
Bali Fishing,Bali Fishing,bali_fishing@gmail.com,0813-3791-2496,,Gianyar,Bali,,Indonesia,,,,,,,
Berkat Pancing,Berkat Pancing,berkat_pancing@gmail.com,0877-5415-6174,,Jembrana,Bali,,Indonesia,,,,,,,
Halim,Halim,halim@gmail.com,0852-0511-0682,,Jembrana,Bali,,Indonesia,,,,,,,
BATAL,BATAL,batal@gmail.com,087812300098,,BATAL,BATAL,,Indonesia,,,,,,,
Iqfa,Iqfa,iqfa@gmail.com,081317917992,,Jakarta Barat,DKI Jakarta,,Indonesia,,,,,,,
Lautan Luas Tuban,Lautan Luas Tuban,lautan_luas_tuban@gmail.com,0852-5622-7307,,Tuban,Jawa Timur,,Indonesia,,,,,,,
Sumber Pancing (P. Hj Iwan),Sumber Pancing (P. Hj Iwan),sumber_pancing_(p._hj_iwan)@gmail.com,0821-2995-9697,,Banjar,Jawa Barat,,Indonesia,,,,,,,
Teras Pancing Banjar,Teras Pancing Banjar,teras_pancing_banjar@gmail.com,0812-2249-7879,,Banjar,Jawa Barat,,Indonesia,,,,,,,
Atlantic Fishing,Atlantic Fishing,atlantic_fishing@gmail.com,0819-4600-4014,,Bekasi,Jawa Barat,,Indonesia,,,,,,,
DM Bogor,DM Bogor,dm_bogor@gmail.com,0878-7854-0222,,Bogor,Jawa Barat,,Indonesia,,,,,,,
Fachril,Fachril,fachril@gmail.com,0822-9742-6677,,Ciamis,Jawa Barat,,Indonesia,,,,,,,
Istiqomah,Istiqomah,istiqomah@gmail.com,0813-1532-6953,,Ciamis,Jawa Barat,,Indonesia,,,,,,,
Pak Sofyan,Pak Sofyan,pak_sofyan@gmail.com,0821-1988-6641,,Cimahi,Jawa Barat,,Indonesia,,,,,,,
Putri Jaya Abadi,Putri Jaya Abadi,putri_jaya_abadi@gmail.com,0819-0140-8976,,Jatibarang,Jawa Barat,,Indonesia,,,,,,,
Geger Pancing,Geger Pancing,geger_pancing@gmail.com,0813-8424-4981,,Karawang,Jawa Barat,,Indonesia,,,,,,,
Deden,Deden,deden@gmail.com,087812300098,,Sukabumi,Jawa Barat,,Indonesia,,,,,,,
Sumber pakan Jateng,Sumber pakan Jateng,sumber_pakan_jateng@gmail.com,087812300098,,-,Kota belum terdaftar,,Indonesia,,,,,,,
Anta,Anta,anta@gmail.com,087812300098,,Banjarnegara,Jawa Tengah,,Indonesia,,,,,,,
Kembar Pancing,Kembar Pancing,kembar_pancing@gmail.com,087739777455 / 0878-3955-4242,,Bantul,DIY,,Indonesia,,,,,,,
Bandar Pancing,Bandar Pancing,bandar_pancing@gmail.com,0858-8311-0036,,Batang,Jawa Tengah,,Indonesia,,,,,,,
Limpung,Limpung,limpung@gmail.com,0823-2576-9288,,Batang,Jawa Tengah,,Indonesia,,,,,,,
Pancing Jaya 99,Pancing Jaya 99,pancing_jaya_99@gmail.com,0878-3063-6368,,Batang,Jawa Tengah,,Indonesia,,,,,,,
Sun Pancing,Sun Pancing,sun_pancing@gmail.com,087812300098,,Batang,Jawa Tengah,,Indonesia,,,,,,,
Allief,Allief,allief@gmail.com,0815-7512-7919,,Blora,Jawa Tengah,,Indonesia,,,,,,,
Aris,Aris,aris@gmail.com,087812300098,,Blora,Jawa Tengah,,Indonesia,,,,,,,
Asia,Asia,asia@gmail.com,087812300098,,Blora,Jawa Tengah,,Indonesia,,,,,,,
DM Pancing Cepu,DM Pancing Cepu,dm_pancing_cepu@gmail.com,0823-2453-5755,,Blora,Jawa Tengah,,Indonesia,,,,,,,
Luwes,Luwes,luwes@gmail.com,087812300098,,Blora,Jawa Tengah,,Indonesia,,,,,,,
Sinar Jaya Pancing,Sinar Jaya Pancing,sinar_jaya_pancing@gmail.com,087812300098,,Blora,Jawa Tengah,,Indonesia,,,,,,,
Ozy Pancing,Ozy Pancing,ozy_pancing@gmail.com,087812300098,,Brebes,Jawa Tengah,,Indonesia,,,,,,,
Subur,Subur,subur@gmail.com,087812300098,,Brebes,Jawa Tengah,,Indonesia,,,,,,,
Vigo Barokah Pancing,Vigo Barokah Pancing,vigo_barokah_pancing@gmail.com,0882-3309-2193,,Brebes,Jawa Tengah,,Indonesia,,,,,,,
Aura,Aura,aura@gmail.com,087812300098,,Cilacap,Jawa Tengah,,Indonesia,,,,,,,
Biru Toko,Biru Toko,biru_toko@gmail.com,081-6424-0928,,Cilacap,Jawa Tengah,,Indonesia,,,,,,,
Kali Sabuk,Kali Sabuk,kali_sabuk@gmail.com,0815-4885-1281,,Cilacap,Jawa Tengah,,Indonesia,,,,,,,
Raja,Raja,raja@gmail.com,087812300098,,Cilacap,Jawa Tengah,,Indonesia,,,,,,,
Tirta Bahari,Tirta Bahari,tirta_bahari@gmail.com,0857-1330-5083,,Cilacap,Jawa Tengah,,Indonesia,,,,,,,
Aneka Berkah,Aneka Berkah,aneka_berkah@gmail.com,081804347332,,Gunungkidul,Jawa Tengah,,Indonesia,,,,,,,
6 Saudara,6 Saudara,6_saudara@gmail.com,087812300098,,Jepara,Jawa Tengah,,Indonesia,,,,,,,
